SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
530809,BNR UDYOG   ,B ,Q,15.95,16.45,15.00,15.00,15.00,16.10,33,8147,132539.00,
530813,KRBL LTD.   ,B ,Q,73.10,79.50,72.50,77.05,77.05,72.85,2684,140414,10825381.00,
530821,SSPDL LTD   ,B ,Q,14.25,14.25,13.85,13.85,13.85,14.25,8,400,5595.00,
530825,DAIKAFFIL CH,B ,Q,17.20,18.20,16.60,18.00,17.90,16.70,186,5709,98468.00,
530829,CIL SECURITS,B ,Q,12.25,12.25,12.00,12.20,12.20,12.25,14,2211,26893.00,
530839,CLIO INFOTEC,T ,Q,1.00,1.00,1.00,1.00,1.00,1.05,11,2230,2230.00,
530843,CUPID LTD   ,B ,Q,13.01,13.44,13.01,13.15,13.44,13.25,10,900,11795.00,
530845,SUNSHIELD CH,B ,Q,224.00,238.80,224.00,238.80,238.80,217.10,519,26395,6219151.00,
530853,HIPOLIN LTD.,B ,Q,37.65,37.65,32.35,35.25,35.40,32.50,14,2692,94611.00,
530859,COSBOARD IND,B ,Q,10.55,10.55,10.55,10.55,10.55,10.60,60,20146,212540.00,
530863,FEINDIALTD  ,T ,Q,14.50,14.50,13.20,13.60,13.55,13.85,50,11079,160159.00,
530867,SURYANAGRI F,T ,Q,67.25,67.25,67.25,67.25,67.25,64.05,2,400,26900.00,
530871,CHEMBOND CHM,B ,Q,155.25,165.00,155.00,155.60,155.00,155.15,32,628,99148.00,
530879,BHILWARA TEX,T ,Q,19.90,19.90,19.90,19.90,19.90,20.90,2,10,199.00,
530881,CENTURY PORT,T ,Q,19.05,19.05,19.05,19.05,19.05,20.00,2,5,95.00,
530883,SUPER CROP. ,B ,Q,18.70,18.70,15.70,17.31,17.96,16.49,14,16,274.00,
530885,AURUM SOFT  ,B ,Q,4.65,4.85,4.39,4.39,4.39,4.62,380,311419,1406804.00,
530889,ALKA INDIA  ,T ,Q,0.17,0.17,0.17,0.17,0.17,0.17,27,136784,23253.00,
530901,ACIL        ,T ,Q,0.17,0.17,0.17,0.17,0.17,0.18,12,13208,2245.00,
530917,R.R.SECUR.  ,T ,Q,2.40,2.40,2.40,2.40,2.40,2.40,4,300,720.00,
530919,REMSONS IND.,B ,Q,23.90,25.25,23.90,25.25,25.25,25.15,8,518,12404.00,
530921,INTEG.THERMO,T ,Q,5.47,5.47,5.47,5.47,5.47,5.21,2,100,547.00,
530923,RCL FOODS   ,T ,Q,16.95,18.65,16.95,18.65,18.65,17.80,14,773,13110.00,
530931,STANPACKS(I),B ,Q,5.39,5.39,5.39,5.39,5.39,5.14,2,100,539.00,
530943,SRI ADHIKARI,B ,Q,105.60,108.00,105.00,105.60,105.00,105.20,204,13460,1437911.00,
530951,RAM INFORMAT,T ,Q,18.45,19.40,18.45,19.40,19.40,19.40,6,500,9510.00,
530953,SUNIL AGRO F,B ,Q,18.90,18.90,18.90,18.90,18.90,18.00,4,145,2740.00,
530955,MINDVISCAP  ,B ,Q,18.55,18.95,18.40,18.90,18.40,19.30,22,11400,215415.00,
530959,DIANA TEA CO,B ,Q,19.10,20.75,19.05,20.10,20.50,19.45,390,20861,413169.00,
530961,VIKAS GLO   ,B ,Q,28.95,30.25,28.00,30.25,30.25,27.50,391,290445,8631233.00,
530965,INDIAN OIL  ,A ,Q,336.00,341.00,334.10,338.25,338.25,331.80,1962,81889,27603649.00,
530967,KYRALANDS   ,B ,Q,15.20,15.20,15.20,15.20,15.20,15.50,75,36291,551623.00,
530971,NIMBUS IND. ,T ,Q,10.64,10.64,10.64,10.64,10.64,11.20,2,1300,13832.00,
530973,ALFA ICA (I),B ,Q,10.93,10.93,10.93,10.93,10.93,11.50,2,10,109.00,
530977,KATWA UDYOG ,B ,Q,17.00,17.00,17.00,17.00,17.00,17.00,2,295,5015.00,
530979,INDIA HOME  ,B ,Q,49.00,49.95,47.55,49.70,49.90,48.00,44,3127,152751.00,
530985,JPT SECUR.  ,B ,Q,13.14,13.14,13.14,13.14,13.14,12.65,4,503,6609.00,
530997,UNIQUE ORGAN,T ,Q,24.50,24.50,23.50,24.50,24.50,23.35,45,9885,240847.00,
530999,BALAJI AMINE,B ,Q,69.70,70.15,68.55,69.10,69.10,68.90,358,7630,528847.00,
531025,VISAGAR FIN ,T ,Q,3.15,3.15,3.15,3.15,3.15,3.21,4,50,157.00,
531027,LIBORD SEC  ,B ,Q,7.95,8.10,7.95,8.10,8.10,7.75,7,850,6792.00,
531041,COMPETENT AU,B ,Q,61.05,64.50,61.05,64.30,64.30,62.90,34,810,51282.00,
531043,DHAN JEEVAN ,T ,Q,15.00,15.00,15.00,15.00,15.00,15.75,4,2,30.00,
531047,ADV POWER   ,T ,Q,4.66,4.66,4.66,4.66,4.66,4.44,2,1,4.00,
531055,GFLFIN      ,T ,Q,16.15,17.85,16.15,17.85,17.85,17.00,22,87000,1549480.00,
531067,CONTIL I LTD,T ,Q,3.65,3.80,3.45,3.45,3.45,3.63,37,24375,84521.00,
531080,SHRI KRISH  ,B ,Q,9.28,9.28,9.28,9.28,9.28,8.84,2,500,4640.00,
531082,EUROFINMART ,B ,Q,96.10,99.00,96.10,96.50,96.45,96.65,138,17002,1637292.00,
531084,INDO BONITO ,Z ,Q,1.05,1.05,1.05,1.05,1.05,1.00,15,27600,28980.00,
531088,TULIP STAR H,B ,Q,77.00,88.00,77.00,77.35,77.35,81.55,18,1248,96233.00,
531092,OM MET INFRA,B ,Q,29.80,30.70,29.45,30.45,30.45,29.10,435,28989,869132.00,
531096,MOUNT EVERES,B ,Q,114.95,114.95,112.00,112.95,113.25,111.90,78,3508,397131.00,
531099,RUBRA MEDICA,T ,Q,2.17,2.17,2.17,2.17,2.17,2.21,4,6,13.00,
531102,SURANA CORPO,B ,Q,17.60,18.55,17.50,18.30,17.50,17.60,24,1727,31371.00,
531115,SYNERGY     ,T ,Q,0.98,0.98,0.97,0.97,0.97,0.98,14,5500,5360.00,
531118,PACIFIC COTS,T ,Q,1.20,1.20,1.20,1.20,1.20,1.18,22,72357,86828.00,
531119,CEENIK EXPO.,T ,Q,7.45,7.45,7.45,7.45,7.45,7.14,2,5,37.00,
531120,PATEL ENGG. ,T ,Q,112.25,116.00,110.60,114.30,115.00,111.50,718,24592,2782144.00,
531127,ANARINDUS   ,Z ,Q,9.50,9.50,9.50,9.50,9.50,10.00,2,10,95.00,
531129,INANI MARBLE,B ,Q,135.75,160.00,135.50,149.95,149.95,139.75,444,10466,1521387.00,
531134,LE WATERINA ,B ,Q,1.32,1.32,1.32,1.32,1.32,1.26,10,7100,9372.00,
531137,GEMSTONE INV,T ,Q,1.09,1.09,1.09,1.09,1.09,1.11,2,500,545.00,
531144,EL FORGE LTD,T ,Q,4.81,5.30,4.81,5.30,5.30,5.06,12,2466,11867.00,
